lambda,mu,servers,rho_sim,rho_teo,L_sim,L_teo,Lq_sim,Lq_teo,W_sim,W_teo,Wq_sim,Wq_teo,served
0.8,1.0,1,0.813802986257982,0.8,4.3753013830396865,4.000000000000001,3.5614983967816976,3.2000000000000015,5.409859804083235,5.000000000000001,4.403629677659036,4.000000000000001,50000
0.8,1.0,2,0.3992099755467973,0.4,0.9462474548377732,0.9523809523809524,0.14782750374417936,0.1523809523809524,1.1812503287157883,1.1904761904761905,0.18454082650186232,0.1904761904761905,50000
0.9,1.0,1,0.9012658017954113,0.9,8.528741135101622,9.000000000000002,7.627475333306209,8.100000000000003,9.448002497645877,10.000000000000002,8.449594712543789,9.000000000000002,50000
0.9,1.0,2,0.4490743433867726,0.45,1.1166919018438377,1.1285266457680252,0.21854321507029595,0.22852664576802512,1.2391864762212055,1.2539184952978057,0.24251612834108738,0.2539184952978057,50000
0.95,1.0,1,0.9531982358630542,0.95,17.768545276843387,18.999999999999982,16.815347040980335,18.049999999999983,18.630031487956817,19.999999999999982,17.63061860008599,18.999999999999982,50000
0.95,1.0,2,0.4733635488365606,0.475,1.215349075262342,1.2267958030669897,0.26862197758922224,0.27679580306698953,1.2785728530808884,1.2913640032284102,0.28259598437785916,0.29136400322841005,50000
