estado,estacionaria_teorica,frequencia_simulada,tempo_medio
Baixo (0),0.35087719298245645,0.3571642835716428,3.333333333333333
Médio (1),0.4035087719298245,0.40315968403159685,2.5
Alto (2),0.2456140350877195,0.23967603239676033,2.5
