lambda,mu,rho_sim,rho_teo,L_sim,L_teo,Lq_sim,Lq_teo,W_sim,W_teo,Wq_sim,Wq_teo,erro_L,erro_Lq,erro_W,erro_Wq,served
0.2,1.0,0.20103152143108435,0.2,0.2524793414378758,0.25,0.051447820006798574,0.05000000000000001,1.2562367490473607,1.25,0.2559838828113277,0.25,0.00991736575150326,0.028956400135971276,0.00498939923788857,0.023935531245310893,50000
0.5,1.0,0.4992778701949405,0.5,1.0013199423257964,1.0,0.5020420721308502,0.5,1.9994595147941139,2.0,1.0024895695349827,1.0,0.0013199423257963527,0.00408414426170034,0.00027024260294306046,0.002489569534982694,50000
0.8,1.0,0.813802986257982,0.8,4.3753013830396865,4.000000000000001,3.5614983967816976,3.2000000000000015,5.409859804083235,5.000000000000001,4.403629677659036,4.000000000000001,0.09382534575992138,0.11296824899427996,0.08197196081664673,0.10090741941475875,50000
0.9,1.0,0.9012658017954113,0.9,8.528741135101622,9.000000000000002,7.627475333306209,8.100000000000003,9.448002497645877,10.000000000000002,8.449594712543789,9.000000000000002,0.05236209609981991,0.058336378604172116,0.05519975023541245,0.06115614305069033,50000
0.95,1.0,0.9531982358630542,0.95,17.768545276843387,18.999999999999982,16.815347040980335,18.049999999999983,18.630031487956817,19.999999999999982,17.63061860008599,18.999999999999982,0.06481340648192613,0.0684018259844681,0.06849842560215832,0.07207270525863115,50000
