tipo,H_estimado,L,Lq,W,Wq,served
Poisson,0.4962533793567151,4.125851396020128,3.317508372149389,5.091051618998297,4.093605112720148,20000
Autossimilar,0.6220599159592677,7.78444847954984,6.982068882289644,9.676929679844966,8.679483173566815,20000
