lambda,mu,rho_sim,rho_teo,L_sim,L_teo,Lq_sim,Lq_teo,W_sim,W_teo,Wq_sim,Wq_teo,served
0.8,0.9,0.892213117388587,0.888888888888889,8.333353073471791,8.000000000000005,7.441139956083204,7.111111111111116,10.373395090845486,10.000000000000002,9.262764221097537,8.888888888888891,50000
0.8,1.0,0.813802986257982,0.8,4.3753013830396865,4.000000000000001,3.5614983967816976,3.2000000000000015,5.409859804083235,5.000000000000001,4.403629677659036,4.000000000000001,50000
0.8,1.1,0.7285809672375566,0.7272727272727273,2.6539601865564144,2.666666666666667,1.9253792193188584,1.9393939393939397,3.3068304115966636,3.333333333333333,2.399019619266057,2.424242424242424,50000
0.8,1.25,0.6457674195197203,0.64,1.846035731752916,1.777777777777778,1.2002683122331945,1.1377777777777778,2.2919228218260725,2.2222222222222223,1.4901782721777348,1.4222222222222225,50000
0.8,1.5,0.5347826830587964,0.5333333333333333,1.1457993589585727,1.1428571428571428,0.6110166758997747,0.6095238095238095,1.4270063827539003,1.4285714285714286,0.7609750255669107,0.761904761904762,50000
